,month,area_name_en,yhat,yhat_lower,yhat_upper,growth_factor,growth_factor_lower,growth_factor_upper
0,01-09-2025,Al Barsha South Fifth,15856.96714,14432.94297,17280.99131,1.009567241,0.91890374,1.100230742
1,01-10-2025,Al Barsha South Fifth,15934.78007,13442.56429,18426.99585,1.014521366,0.855849194,1.173193537
2,01-11-2025,Al Barsha South Fifth,15990.24115,12587.7842,19392.6981,1.018052412,0.801427818,1.234677007
3,01-12-2025,Al Barsha South Fifth,15992.64265,11808.84724,20176.43805,1.018205309,0.751835154,1.284575463
4,01-01-2026,Al Barsha South Fifth,15998.39565,11131.62356,20865.16775,1.018571586,0.708718281,1.328424891
5,01-02-2026,Al Barsha South Fifth,15990.58048,10515.25058,21465.91038,1.018074016,0.669475596,1.366672437
6,01-09-2025,Al Barsha South Fourth,15675.40716,15587.71503,15763.09929,1.011459884,1.005801525,1.017118242
7,01-10-2025,Al Barsha South Fourth,15852.31349,15622.4464,16082.18058,1.022874812,1.008042576,1.037707048
8,01-11-2025,Al Barsha South Fourth,16029.12296,15623.75576,16434.49016,1.034283491,1.008127063,1.060439919
9,01-12-2025,Al Barsha South Fourth,16206.2409,15617.67067,16794.81112,1.045712074,1.007734421,1.083689727
10,01-01-2026,Al Barsha South Fourth,16383.85985,15623.71092,17144.00878,1.057172985,1.008124169,1.1062218
11,01-02-2026,Al Barsha South Fourth,16561.99418,15652.74886,17471.23949,1.06866715,1.009997851,1.12733645
12,01-09-2025,Al Barshaa South Third,14159.51577,13873.65233,14445.37921,1.001483808,0.981265065,1.021702551
13,01-10-2025,Al Barshaa South Third,14231.53142,13633.20044,14829.8624,1.00657738,0.964258222,1.048896538
14,01-11-2025,Al Barshaa South Third,14343.55401,13455.84986,15231.25816,1.01450059,0.95171445,1.077286729
15,01-12-2025,Al Barshaa South Third,14474.56737,13369.97555,15579.15918,1.023766991,0.945640674,1.101893308
16,01-01-2026,Al Barshaa South Third,14601.71803,13366.18026,15837.2558,1.032760189,0.945372238,1.12014814
